Country,Code,C00,C05,C10,C15,C20,C25,C30,C35,C40,C45,C50,C55,C60,C65,C70,C75,C80
Marshall Islands,MHL,10.86,12.22,11.03,8.29,7.38,5.98,8.15,7.96,6.86,5.68,4.89,3.85,2.96,2.14,1.15,0.37,0.25
Mauritania,MRT,15.18,14.24,12.98,10.76,8.97,7.59,6.39,5.31,4.36,3.65,3,2.4,1.87,1.35,0.91,0.56,0.48
Mauritius,MUS,5.11,5.5,6.42,7.37,7.36,7.84,7.02,7.31,7.76,6.61,6.87,7.09,5.97,4.74,3.14,1.85,2.03
Mexico,MEX,8.03,8.63,8.69,8.66,8.4,8.1,7.61,7.17,6.77,6.22,5.45,4.56,3.7,2.86,2.03,1.4,1.72
Micronesia,FSM,10.14,10.28,10.73,10.47,10.23,8.8,6.52,5.54,4.93,4.63,4.44,4.1,3.63,2.69,1.56,0.74,0.57
Moldova,MDA,6.88,6.84,6,5.38,5.76,7.48,8.74,7.82,6.7,6.14,5.69,6.53,6.84,5.59,3.48,1.93,2.21
Monaco,MCO,4.51,4.27,3.84,4.06,4.41,4.12,4.17,4.33,4.43,4.93,6.33,7.26,7.51,6.54,6.5,6.14,16.65
Mongolia,MNG,11.81,11.62,8.77,6.74,7.08,7.98,9.03,7.55,6.71,5.95,5.07,4.34,3.08,1.73,1.05,0.75,0.72
Montenegro,MNE,5.97,6.07,6.2,6.22,6.45,6.63,6.77,7.26,6.93,6.47,6.29,6.51,6.33,5.62,4,2.6,3.68
Morocco,MAR,9.05,9.33,8.71,8.14,7.89,7.9,7.77,7.41,6.7,5.96,5.27,4.71,4.02,3.08,1.96,1.18,0.93
Mozambique,MOZ,16.51,14.7,12.67,10.94,9.3,7.73,6.4,5.09,4.23,3.54,2.66,2.03,1.61,1.17,0.75,0.42,0.26
Myanmar,MMR,8.44,8.28,8.41,8.65,8.38,8.25,7.92,7.73,6.99,6.34,5.63,4.73,3.81,2.84,1.78,1.03,0.8
Namibia,NAM,13.34,12.32,10.58,9.53,9.39,9.39,7.56,5.85,5.1,4.35,3.64,2.83,2.13,1.61,1.1,0.67,0.62
Nauru,NRU,14.02,13.72,11.22,8.95,8.55,8.4,8.07,7.16,5.3,3.97,3.63,2.79,2.1,1.17,0.62,0.17,0.17
Nepal,NPL,10.04,9.96,10.21,11,10.42,8.81,6.98,6.08,5.33,4.64,4.06,3.48,2.96,2.45,1.76,1.09,0.73
Netherlands,NLD,4.95,5.19,5.47,5.96,6.33,6.52,6.39,6.01,5.88,6.64,7.36,7.21,6.46,5.74,5.48,3.66,4.75
New Caledonia,NCL,7.41,7.81,7.51,7.61,6.85,7.04,7.52,7.34,6.88,7.14,6.54,5.55,4.43,3.41,2.79,1.93,2.24
New Zealand,NZL,6.08,6.47,6.53,6.27,6.71,7.5,7.3,6.55,6.06,6.5,6.41,6.38,5.68,4.86,4.16,2.88,3.68
Nicaragua,NIC,10.36,10.22,9.84,9.63,9.58,9.2,8.11,6.99,6.05,5.11,4.08,3.23,2.54,1.98,1.33,0.91,0.83
Niger,NER,19.73,15.98,13.24,10.74,8.57,6.7,5.38,4.54,3.69,2.96,2.46,2.01,1.55,1.12,0.69,0.42,0.22
Nigeria,NGA,16.45,14.44,12.61,10.67,8.74,7.31,6.19,5.47,4.61,3.62,2.84,2.29,1.77,1.3,0.87,0.52,0.32
